"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
"5, 2",Patch-Bridgewater,Bridgewater,Bridgewater,Suburban,http://patch.com/new-jersey/bridgewater,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Caldwells,Caldwells,Caldwells,Urban,http://patch.com/new-jersey/caldwells,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Chatham,Chatham,Chatham,Suburban,http://patch.com/new-jersey/chatham,1,4,Hale Global,1,2,2,9,,,
5,Patch-Cherry Hill,Cherry Hill,Cherry Hill,Suburban,http://patch.com/new-jersey/cherryhill,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Cinnaminson,Cinnaminson,Cinnaminson,Urban,http://patch.com/new-jersey/cinnaminson,1,4,Hale Global,1,2,2,9,,,
5,Patch-Clark-Garwood,"Clark (Urban), Garwood (Urban)","Clark, Garwood",Urban,http://patch.com/new-jersey/clark,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Collingswood,Collingswood,Collingswood,Urban,http://patch.com/new-jersey/collingswood,1,4,Hale Global,1,2,2,9,,,
"5, 12, 2",Patch-Cranford,Cranford,Cranford,Suburban,http://patch.com/new-jersey/cranford,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-East Brunswick,East Brunswick,East Brunswick,Suburban,http://patch.com/new-jersey/eastbrunswick,1,4,Hale Global,1,2,2,9,,,
5,Patch-East Hanover-Florham Park,"East Hanover (Subrban), Florham Park (Suburban)","East Hanover, Florham Park",Suburban,http://patch.com/new-jersey/easthanover-florhampark,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-East Windsor,East Windsor,East Windsor,Suburban,http://patch.com/new-jersey/eastwindsor,6,4,Hale Global,1,2,2,9,,,
18,Patch-Edison-Metuchen,"Edison (Suburban), Metuchen (Urban)","Edison, Metuchen",6,https://patch.com/new-jersey/edison-metuchen,1,4,Hale Global,1,2,2,9,,,
5,Patch-Englewood-Englewood Cliffs,"Englewood (Urban), Englewood Cliffs (Urban)","Englewood, Englewood Cliffs",Urban,http://patch.com/new-jersey/englewood,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Fair Lawn-Saddle Brook,"Fairlawn  (Urban), Saddlebrook  (Urban)","Fairlawn, Saddlebrook",Urban,https://patch.com/new-jersey/fairlawn-saddlebrook,6,4,Hale Global,1,2,2,9,,,
18,Patch-Flemington,Flemington,Flemington,Urban,https://patch.com/new-jersey/flemington,2,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Fort Lee,Fort Lee,Fort Lee,Urban,http://patch.com/new-jersey/fortlee,1,4,Hale Global,1,2,2,9,,,
"5, 12, 2",Patch-Freehold,Freehold,Freehold,Rural,http://patch.com/new-jersey/freehold,3,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Galloway,Galloway,Galloway,Rural,http://patch.com/new-jersey/galloway,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Gloucester Township,Gloucester,Gloucester,Suburban,http://patch.com/new-jersey/gloucestertownship,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Hackettstown,Hacketstown,Hacketstown,Rural,http://patch.com/new-jersey/hackettstown,3,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Haddonfield-Haddon Township,Haddonfield,Haddonfield,Uban,https://patch.com/new-jersey/haddon,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Hasbrouck Heights,Hasbrouck Heights,Hasbrouck Heights,Urban,http://patch.com/new-jersey/hasbrouckheights,2,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Hillsborough,Hillsborough,Hillsborough,Suburban,http://patch.com/new-jersey/hillsborough,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Hoboken,Hoboken,Hoboken,Urban,http://patch.com/new-jersey/hoboken,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Holmdel-Hazlet,"Holmdel (Suburban), Hazlet (Suburban)","Holmdel, Hazlet",Suburban,https://patch.com/new-jersey/holmdel-hazlet,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Hopatcong-Sparta,"Hopatcong (Suburban), Sparta (Suburban)","Hopatcong, Sparta",Suburban,https://patch.com/new-jersey/hopatcong-sparta,6,4,Hale Global,1,2,2,9,,,
18,Patch-Hopewell-Pennington,"Hopewell (Rural), Pennington (Suburban)","Hopewell, Pennington",6,https://patch.com/new-jersey/hopewell-pennington,3,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Howell,Howell,Howell,Suburban,http://patch.com/new-jersey/howell,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Jefferson,Jefferson,Jefferson,Suburban,http://patch.com/new-jersey/jefferson,6,4,Hale Global,1,2,2,9,,,
18,Patch-Jersey City,Jersey City,Jersey City,Urban,https://patch.com/new-jersey/jersey-city,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Lacey,Lacey,Lacey,Rural,http://patch.com/new-jersey/lacey,1,4,Hale Global,1,2,2,9,,,
18,Patch-Lakewood,Lakewood,Lakewood,Suburban,https://patch.com/new-jersey/lakewood-nj,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Lawrenceville,Lawrenceville,Lawrenceville,Rural,http://patch.com/new-jersey/lawrenceville,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Little Silver-Oceanport,Little Silver,Little Silver,Suburban,https://patch.com/new-jersey/littlesilver,2,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Livingston,Livingston,Livingston,Suburban,http://patch.com/new-jersey/livingston,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Long Branch-Eatontown,"Long Branch (Urban), Eatontown (Suburban)","Long Branch, Eatontown",6,https://patch.com/new-jersey/longbranch,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Long Valley,Long Valley,Long Valley,Suburban,https://patch.com/new-jersey/longvalley,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Madison,Madison,Madison,Suburban,http://patch.com/new-jersey/madison,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Mahwah,Mahwah,Mahwah,Suburban,http://patch.com/new-jersey/mahwah,1,4,Hale Global,1,2,2,9,,,
5,Patch-Manalapan,Manalapan,Manalapan,Suburban,http://patch.com/new-jersey/manalapan,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Manasquan-Belmar,"Manasquan (Suburban), Belmar (Suburban)","Manasquan, Belmar",Suburban,http://patch.com/new-jersey/manasquan,1,4,Hale Global,1,2,2,9,,,
18,Patch-Manchester,Manchester,Manchester,Rural,https://patch.com/new-jersey/manchester-nj,6,4,Hale Global,1,2,2,9,,,
18,Patch-Manville,Manville,Manville,Urban,https://patch.com/new-jersey/manville,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Maplewood,Maplewood,Maplewood,Urban,http://patch.com/new-jersey/maplewood,1,4,Hale Global,1,2,2,9,,,
18,Patch-Marlboro-Coltsneck,"Marlboro (Suburban), Coltsneck (Suburban)","Marlboro, Coltsneck",Suburban,https://patch.com/new-jersey/marlboro-coltsneck,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Matawan-Aberdeen,"Matawan (Suburban), Aberdeen (Suburban)","Matawan, Aberdeen",Suburban,https://patch.com/new-jersey/matawan-aberdeen,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Mendham-Chester,"Mendham (Suburban), Chester (Rural)","Mendham, Chester",6,https://patch.com/new-jersey/mendham-chester,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Middlesex,Middlesex,Middlesex,Suburban,https://patch.com/new-jersey/middlesex,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Middletown,Middletown,Middletown,Suburban,https://patch.com/new-jersey/middletown-nj,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Millburn-Short Hills,"Milburn (Suburban), Short Hills (Suburban)","Milburn, Short Hills",Suburban,http://patch.com/new-jersey/millburn,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Montclair,Montclair,Montclair,Urban,http://patch.com/new-jersey/montclair,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Montville,Montville,Montville,Suburban,http://patch.com/new-jersey/montville,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Moorestown,Moorestown,Moorestown,Suburban,http://patch.com/new-jersey/moorestown,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Morris Township-Morris Plains,"Morris Township, Morris Plains","Morris Township, Morris Plains",Suburban,https://patch.com/new-jersey/morris,3,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Morristown,Morristown,Morristown,Urban,http://patch.com/new-jersey/morristown,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-New Brunswick,New Brunswick,New Brunswick,Urban,https://patch.com/new-jersey/newbrunswick,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-New Milford,New Milford,New Milford,Urban,https://patch.com/new-jersey/newmilford-nj,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-New Providence-Berkeley Heights,"New Providence (Suburban), Berkeley Heights (Suburban)","New Providence, Berkeley Heights",Suburban,https://patch.com/new-jersey/newprovidence,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Newark,Newark,Newark,Urban,http://patch.com/new-jersey/newark,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Oakland,Oakland,Oakland,Urban,http://patch.com/new-jersey/oakland,7,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Ocean City,Ocean City,Ocean City,Suburban,https://patch.com/new-jersey/oceancity,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Paramus,Paramus,Paramus,Suburban,http://patch.com/new-jersey/paramus,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Parsippany,Parsippany,Parsippany,Suburban,http://patch.com/new-jersey/parsippany,7,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Point Pleasant,Point Pleasant,Point Pleasant,Suburban,https://patch.com/new-jersey/pointpleasant,1,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Princeton,Princeton,Princeton,Suburban,http://patch.com/new-jersey/princeton,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Ramsey,Ramsey,Ramsey,Suburban,https://patch.com/new-jersey/ramsey-nj,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Randolph,Randolph,Randolph,Suburban,https://patch.com/new-jersey/randolph,2,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Red Bank-Shrewsbury,"Red Bank (Urban), Shrewsbury (Suburban)","Red Bank, Shrewsbury",6,https://patch.com/new-jersey/redbank,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Ridgewood-Glen Rock,Ridgewood,Ridgewood,Urban,http://patch.com/new-jersey/ridgewood,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-River Dell,"River Dell/ Oradell (Suburban), River Edge (Urban)","Oradell, River Edge",6,https://patch.com/new-jersey/riverdell,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Rumson-Fair Haven,"Rumson (Suburban), Fair Haven (Suburban)","Rumson, Fair Haven",Suburban,http://patch.com/new-jersey/rumson,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Scotch Plains-Fanwood,Scotch Plains,Scotch Plains,Suburban,https://patch.com/new-jersey/scotchplains,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Secaucus,Secaucus,Secaucus,Urban,https://patch.com/new-jersey/secaucus,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-South Brunswick,South Brunswick,South Brunswick,Suburban,https://patch.com/new-jersey/southbrunswick,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-South Orange,South Orange,South Orange,Suburban,https://patch.com/new-jersey/southorange,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Springfield,Springfield,Springfield,Suburban,http://patch.com/new-jersey/springfield,7,4,Hale Global,1,2,2,9,,,
18,Patch-Summit,Summit,Summit,Urban,https://patch.com/new-jersey/summit,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Teaneck,Teaneck,Teaneck,Urban,http://patch.com/new-jersey/teaneck,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Toms River,Toms River,Toms River,Urban,https://patch.com/new-jersey/tomsriver,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Tri-Boro,"Triboro/ Kinnelon (Suburban) , West Milford (Suburban) , Butler(Urban)","Kinnelon, West Milford, Butler",Suburban,https://patch.com/new-jersey/triboro,7,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Verona-Cedar Grove,Verona,Verona,Urban,https://patch.com/new-jersey/verona,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Wall,Wall,Wall,Suburban,https://patch.com/new-jersey/wall,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Warren,Warren,Warren,Urban,http://patch.com/new-jersey/warren,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Watchung-Green Brook,"Watchung (Suburban), Greenbrook (Suburban)","Watchung, Greenbrook",Suburban,https://patch.com/new-jersey/watchung-greenbrook,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Wayne,Wayne,Wayne,Suburban,http://patch.com/new-jersey/wayne,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-West Deptford,West Deptford,West Deptford,Suburban,https://patch.com/new-jersey/westdeptford,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-West Orange,West Orange,West Orange,Suburban,https://patch.com/new-jersey/westorange,1,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-West Windsor,West Windsor,West Windsor,Suburban,https://patch.com/new-jersey/west-windsor,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Westfield,Westfield,Westfield,Suburban,http://patch.com/new-jersey/westfield,6,4,Hale Global,1,2,2,9,,,
"18, 2",Patch-Westwood-Hillsdale,"Westwood, Hillsdale","Westwood, Hillsdale",Urban,https://patch.com/new-jersey/westwood-hillsdale,6,4,Hale Global,1,2,2,9,,,
5,Patch-Woodbridge,Woodbridge,Woodbridge,Urban,http://patch.com/new-jersey/woodbridge,6,4,Hale Global,1,2,2,9,,,
"5, 2",Patch-Wyckoff,Wyckoff,Wyckoff,Suburban,http://patch.com/new-jersey/wyckoff,6,4,Hale Global,1,2,2,9,,,
"5, 2",Paterson Times,Paterson,Paterson,Urban,http://patersontimes.com/,1,4,Independently owned,1,2,2,9,,,
1,"Pauw Wow, The",Jersey City,Jersey City,Urban,http://www.thepauwwow.org/,3,1,St. Peter's College,1,2,2,9,,,
5,Peterson's Breaking News of Trenton,Trenton,Trenton,Urban,https://www.youtube.com/channel/UCiOYU7g5grN0OgyZ8A02AFQ,1,4,Independently owned,1,2,2,9,,,
2,Peterstown NJ,Elizabeth,Elizabeth,Urban,https://rennamedia.com/publications/peterstown-nj/,4,1,Renna Media,1,2,2,9,,,
"15, 14, 2",Philadelphia (magazine),"Camden/ Urban (14), Suburban (21), Rural (2) and Burlington County/ Urban (10), Suburban (12), Rural (17)","Camden County, Burlington County",Suburban,http://www.phillymag.com/,4,5,Metrocorp,1,2,2,1,,,
"1, 14, 2",Philadelphia Business Journal,"Camden (Urban), Trenton (Urban), Atlantic City (Urban),Vineland (Urban), Hammonton (Urban)","Camden, Trenton, Atlantic City,Vineland, Hammonton",Urban,http://www.pbj.com/,1,1,American City Business Journals,1,2,2,1,Philadelphia area,,
"1, 17, 15, 14, 2",Philadelphia Gay News,"Camden (Urban), Collingswood (Urban), Hadden Township (Urban), Gloucester City (Urban)","Camden, Collingswood, Hadden Township, Gloucester City",Urban,http://www.epgn.com/,2,1,Independently owned (Mark Segal),1,2,2,1,Philadelphia area,,
"1, 5, 15, 11 12, 14, 2",Philadelphia Inquirer,unknown,9,9,http://www.philly.com/inquirer/,1,1,Philadelphia Media Network,1,2,2,1,Username: newsecosystems@centerforcooperativemedia.org; Pass: Ccm2019!,,
15,Philadelphia News,9,9,9,https://thephilanews.com/,2,1,9,6,1,2,1,Russian language newspaper. Also in english online,,
"1, 17, 15, 11, 14, 12, 16, 2","Philadelphia Tribune, The",9,9,9,http://www.phillytrib.com/,1,1,"Independently owned (Robert W. Bogle, President)",1,1,2,1,,,
"1, 2, 15, 14, 12, 18, 16, 2",Philadelphia Weekly,9,9,9,http://www.philadelphiaweekly.com/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,1,alt weekly,,
"1, 13, 12, 2",Philly Voice,9,9,9,https://www.phillyvoice.com/,1,4,"WWB Holdings, LLC",1,2,2,1,,,
2,"Pillar, The",Madison,Madison,Suburban,http://www.fdupillar.com/,4,1,Fairleigh Dickinson University,1,2,2,9,,,
16,Pinas USA,Filipino community in Northeast,9,9,9,2,1,Swara Sug Media Corp.,"7 (8, 1)",1,2,1,,,
17,Pine Barrens Tribune,"Bass River (Rural), Evesham (Suburban), Little Egg Harbor (Rural), Manchester (Rural), Medford (Rural), Medford Lakes (Suburban), Pemberton (Suburban), Pemberton Borough (Rural), Shamong (Rural), Southampton (Rural), Tabernacle (Rural), Washington (Rural), Woodland (Rural)","Bass River, Evesham, Little Egg Harbor, Manchester, Medford, Medford Lakes, Pemberton, Pemberton Borough, Shamong, Southampton, Tabernacle, Washington, Woodland",Rural,http://pinebarrenstribune.com/,2,1,Independently owned (Pine Barrens Media LLC),1,2,2,9,,,
"5, 15, 2","Pioneer Times, The",Wayne,Wayne,Suburban,https://wputimes.wordpress.com/,3,1,William Paterson University,1,2,2,9,,,
2,Piscataway Community News,Piscataway,Piscataway,Suburban,9,4,1,About Our Town,1,2,2,9,see https://www.aboutourtown.online/community-news-new; https://www.aboutourtown.online/community-news,,
5,Plainfield Today,Plainfield,Plainfield,Urban,http://ptoday.blogspot.com/,6,1,Independently owned,1,2,2,9,,,
"5, 13",Planet Princeton,Princeton,Princeton,Suburban,http://www.planetprinceton.com/,6,4,Independently owned,1,2,2,9,,,
5,Planet Trenton,Trenton,Trenton,Urban,http://planettrenton.org/,6,4,Independently owned,1,2,2,9,,,
"2, 16",PLUS,9,9,9,http://www.tygodnikplus.com,2,5,Independently owned (PLUS Media Group),11,1,2,9,"""We deliver weekly over 22,000 magazines to hundreds locations in New York, New Jersey and Pennsylvania such as legal firms, medical offices, grocery stores, delis, beauty salons, banks, travel agencies and book stores. You will find PLUS in all Polish speaking communities. PLUS’s circulation oscillates 10,000 copies in New York and 12,000 copies in New Jersey and Pennsylvania weekly.""",,
"2, 16, 12, 1","Post Eagle, The",9,9,9,https://www.posteaglenewspaper.com/,2,1,CGW News,1,1,2,9,,,
"5, 15, 19, 2, 1, 11, 12","Press of Atlantic City, The","Cape May County, Atlantic County, Cumberland County, Washington and Bass River (Burlington County), Little Egg Harbor, Tuckerton, Long Beach, Beach Haven, Eagleswood, Stafford, Ship Bottom, Surf City, Harvey Cedars, Barnegat Light, Barnegat","Absecon City, Atlantic City, Brigantine City, Buena Borough, Buena Vista Township, Corbin City, Egg Harbor City, Egg Harbor Township, Estell Manor City
Folsom Borough
Galloway Township
Hamilton Township
Hammonton Town
Linwood City
Longport Borough
Margate City
Mullica Township
Northfield City
Pleasantville City
Port Republic City
Somers Point City
Ventnor City
Weymouth Township, Avalon Borough
Cape May City
Cape May Point Borough
Dennis Township
Lower Township
Middle Township
North Wildwood City
Ocean City
Sea Isle City
Stone Harbor Borough
Upper Township
West Cape May Borough
West Wildwood Borough
Wildwood City
Wildwood Crest Borough
Woodbine Borough",Urban,http://www.pressofatlanticcity.com/,1,1,Lee Enterprises,1,2,2,9,,,
5,Princeton Community Television,Princeton,Princeton,Suburban,https://www.princetontv.org/,1,2,Municipal ownership,1,2,1,9,"public access tv station; unclear if there is local news, though",,
"18, 2",Princeton Echo,Princeton,Princeton,Suburban,https://communitynews.org/princeton-echo/,4,5,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
"5, 15, 19, 1, 2, 12","Princeton Packet, The","Princeton (Suburban) , Skillman (Rural) , Rocky Hill (Suburban), Montgomery Township (Rural), Princeton Junction (Suburban), West Windsor (Suburban)","Princeton, Skillman, Rocky Hill, Montgomery Township, Princeton Junction, West Windsor",Suburban,http://www.centraljersey.com/news/the_princeton_packet/,2,1,"Packet Media, LLC, Newspaper Media Group",1,2,2,9,,,
"17, 5, 19, 15, 2, 1","Progress, The","Caldwell (Urban), North Caldwell (Urban), West Caldwell (Urban), Roseland (Suburban), Fairfield (Suburban) and Essex Fells (Suburban)","Caldwell, North Caldwell, West Caldwell, Roseland, Fairfield, Essex Fells",6,http://www.newjerseyhills.com/the_progress/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
1,"Quill, The",Hackettstown,Hackettstown,Rural,9,7,1,Centenary College,1,2,2,9,http://www.centenaryuniversity.edu/about-centenary/the-press-room/the-quill/,,
"5, 2, 1",Quo Vadis,Edison,Edison,Suburban,http://www.quovadisnewspaper.com,5,1,Middlesex County College,1,2,2,9,,,
5,Rahway Rising,Rahway,Rahway,Urban,http://www.rahwayrising.com/,2,4,Independently owned,1,2,2,9,,,
"5, 15","Ramapo News, The",Mahwah,Mahwah,Suburban,http://www.ramaponews.com,2,1,Ramapo College,1,2,2,9,student-run and student-led weekly publication,,
2,"Randolph News, The/Randolph Life",Randolph,Randolph,Suburban,https://www.mypaperonline.com/category/the-randolph-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"17, 5, 15, 19, 2, 1, 12",Randolph Reporter,"Randolph Township (Suburban), Mine Hill Township (Suburban)","Randolph Township, Mine Hill Township",Suburban,http://www.newjerseyhills.com/randolph_reporter/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
15,"Readington News, The",Readington,Readington,Rural,9,2,1,Independently owned,1,2,2,9,Partnered with Branchburg News; http://readingtonnews.com/ - links to a pdf,,
"2, 12, 1","Record, The","Bergen/ Urban (46), Suburban (20), Rural (0) and Passaic/ Urban (2), Suburban (5), Rural (0) counties","Bergen County, Passaic County",Urban,9,1,1,Gannett,1,2,2,9,"the website you're directed to does not say The Record anywhere, it's https://www.northjersey.com/",,
"1, 2",recordonline.com/Times Herald Record,"Sussex County/ Urban (0), Suburban (3), Rural (21)",Sussex County,Rural,https://www.recordonline.com/,2,1,GateHouse Media Publications,1,2,2,1,,,
"5, 15, 13, 2",redbankgreen,Red Bank,Red Bank,Urban,http://www.redbankgreen.com/,1,4,Independently owned,1,2,2,9,"redbankgreen is a proud to be a founding member of Local Independent Online News (LION) Publishers, a trade group formed in 2012.",,
"17, 15, 1, 2",Reminder USA,"Vineland (urban), Millville (urban), Bridgeton (urban)","Vineland, Millville, Bridgeton",urban,http://www.reminderusa.net/,2,1,Cohansey Cove Publishing Incorporated,1,2,2,9,,,
"5, 1, 16, 2",Reporte Hispano,9,9,9,http://www.reportehispano.com/,2,1,Independently owned,2,1,2,9,"Local news for NJ, NY, and CT",,
"5, 15, 19, 2, 1","Retrospect, The","Camden County/ Urban (14), Suburban (21), Rural (2)",Camden County,Suburban,http://www.theretrospect.com,2,1,Ainsworth Media,1,2,2,9,,,
"5, 15, 2, 1","Rider News, The",Lawrenceville,Lawrenceville,Rural,http://www.theridernews.com,2,1,Rider University,1,2,2,9,,,
"18, 2",Ridgefield Park-Hasbrouck Heights Daily Voice,"Hasbrouck Heights (Urban), Little Ferry (Urban), Moonachie (Urban), Ridgefield Park (Urban) & Wood-Ridge (Urban)","Hasbrouck Heights, Little Ferry, Moonachie, Ridgefield Park, Wood-Ridge",Urban,https://dailyvoice.com/new-jersey/ridgefieldpark,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,,,
"5, 2","Ridgewood Blog, The",Ridgewood,Ridgewood,Urban,http://theridgewoodblog.net/,6,4,Independently owned,1,2,2,9,,,
"18, 2",Ridgewood Daily Voice,Ridgewood,Ridgewood,Urban,https://dailyvoice.com/new-jersey/ridgewood,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,Connecticut and New York news outlets as well,,
"18, 2",Robbinsville Advance,Robbinsville,Robbinsville,Rural,https://communitynews.org/robbinsville-advance/,4,1,"Community News Service, LLC",1,2,2,9,"Websites are all under communitynews.org, but printed papers go out monthly",,
2,ROI,9,9,9,http://www.roi-nj.com/,1,4,Independently owned (Tom Hughes),1,2,2,9,,,
2,Route 40,"Atlantic City, Brigantine, Absecon, Pleasantville, Egg Harbor, Ventor City",Atlantic City,Urban,http://rtforty.com,6,4,Independently owned (Oyster Eye Publishing),1,2,2,9,,,
2,"Roxbury News, The/Roxbury Life",Roxbury,Roxbury,Suburban,https://www.mypaperonline.com/category/the-roxbury-news,4,1,Maljon LLC (New View Media Group LLC)LLC,1,2,2,9,,,
"17, 5, 15, 19, 2, 1, 12",Roxbury Register,"Roxbury Township (Suburban), Mount Arlington (Suburban)","Roxbury Township, Mount Arlington",Suburban,http://www.newjerseyhills.com/roxbury_register/,2,1,New Jersey Hills Media Group,1,2,2,9,,,
"18, 2","Rutherford-Carlstadt-East Rutherford Daily Voice
","Rutherford (Urban), Carlstadt (Urban) & East Rutherford (Urban)","Rutherford, Carlstadt, East Rutherford",Urban,https://dailyvoice.com/new-jersey/rutherford,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,Connecticut and New York news outlets as well,,
"18, 2",Saddle Brook-Elmwood Park Daily Voice,"Saddle Brook (Urban), Elmwood Park (Urban)","Saddle Brook, Elmwood Park",Urban,https://dailyvoice.com/new-jersey/saddlebrook,6,4,Cantata Media (Jerry DeMarco),1,2,2,1,Connecticut and New York news outlets as well,,
"5, 15, 19, 2","SandPaper, The","Ocean County/ Urban (1), Suburban (22), Rural (10)",Ocean County,Suburban,http://www.thesandpaper.net,6,5,The SandPaper Inc.,1,2,2,9,,,
2,Save Jersey,9,9,9,https://savejersey.com/,6,4,Independently owned (Matt Rooney),1,2,2,9,,,
"1, 15, 14",Scoop Usa,Camden,Camden,Urban,9,2,1,Independently owned (Scoop USA Media),1,1,2,1,"http://www.scoopusanewspaper.com/; SCOOP U.S.A. has a diverse distribution that extends beyond the City of Philadelphia to the surrounding counties of Chester, Camden, New Jersey and Wilmington, DE",,
2,Scotch Plains What's Happening Monthly,Scotch Plains,Scotch Plains,Suburban,https://rennamedia.com/publications/scotch-plains-whats-happening-monthly/,4,1,Renna Media,1,2,2,9,,,
